"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",,"Model Number",EAN,,"Price (Inc VAT)","Sale Price (Inc VAT)",,"Stock Value","Pick Location",
77,492,,"00014565","0001456504",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419710,,249.000,119.000,,"0",Z-100,
77,493,,"00014565","0001456505",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419727,,249.000,119.000,,4,Z-100,
77,494,,"00014565","0001456506",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419734,,249.000,119.000,,22,Z-100,
77,495,,"00014565","0001456507",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419741,,269.000,119.000,,3,Z-100,
77,496,,"00014565","0001456508",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,289.000,119.000,,"0",Z-100,
77,497,,"00014565","0001456509",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,309.000,119.000,,"0",Z-100,
77,2547,,"00014565","0001456510",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,329.000,119.000,,"0",Z-100,
77,2548,,"00014565","0001456511",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,349.000,119.000,,"0",Z-100,
78,2581,,"00014577","0001457700",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,,,269.000,149.000,,"0",Z-35,
78,501,,"00014577","0001457701",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798436984,,269.000,149.000,,"0",Z-35,
78,502,,"00014577","0001457702",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798436991,,269.000,149.000,,2,Z-35,
78,503,,"00014577","0001457703",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437004,,269.000,149.000,,"0",Z-35,
78,504,,"00014577","0001457704",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437011,,269.000,149.000,,4,Z-35,
78,505,,"00014577","0001457705",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437028,,269.000,149.000,,2,Z-35,
78,506,,"00014577","0001457706",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437035,,269.000,149.000,,2,Z-35,
78,507,,"00014577","0001457707",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437042,,289.000,169.000,,1,Z-35,
78,508,,"00014577","0001457708",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437059,,309.000,189.000,,1,Z-35,
78,509,,"00014577","0001457709",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437066,,329.000,209.000,,"0",Z-35,
78,2582,,"00014577","0001457710",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437073,,349.000,229.000,,"0",Z-35,
78,2583,,"00014577","0001457711",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,,,369.000,249.000,,"0",Z-35,
79,2584,,"00014589","0001458900",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,,,269.000,149.000,,"0",Z-35,
79,513,,"00014589","0001458901",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462068,,269.000,149.000,,"0",Z-35,
79,514,,"00014589","0001458902",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462075,,269.000,149.000,,2,Z-35,
79,515,,"00014589","0001458903",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462082,,269.000,149.000,,4,Z-35,
79,516,,"00014589","0001458904",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462099,,269.000,149.000,,3,Z-35,
79,517,,"00014589","0001458905",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462105,,269.000,149.000,,4,Z-35,
79,518,,"00014589","0001458906",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462112,,269.000,149.000,,3,Z-35,
79,519,,"00014589","0001458907",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462129,,289.000,169.000,,4,Z-35,
79,520,,"00014589","0001458908",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462136,,309.000,189.000,,"0",Z-35,
79,521,,"00014589","0001458909",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462143,,329.000,209.000,,1,Z-35,
79,2585,,"00014589","0001458910",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,5056798462150,,349.000,229.000,,"0",Z-35,
