"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Pick Location",,"Parent Product Images",
75,473,,"00018418","0001841805",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,474,,"00018418","0001841806",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,475,,"00018418","0001841807",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,6179,,"00018418","0001841808",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,19604,,"00018418","0001841809",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
76,2543,,"00014541","0001454100",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,477,,"00014541","0001454101",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,478,,"00014541","0001454102",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,479,,"00014541","0001454103",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,480,,"00014541","0001454104",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,481,,"00014541","0001454105",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,482,,"00014541","0001454106",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,483,,"00014541","0001454107",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
