PLU,Style,Colour,Size,EAN,Pick Location,ImageURL,FashBCode
0001281910,446,BORDUEX,26,-,,,9900012819106
0001281911,446,BORDUEX,28,-,,,9900012819113
0002303400,4551,BLACK,,5060474526463,D-11F,https://www.leathercompany.co.uk/images/products/zoom/1469019476-93566100.png,9900023034000
0002303500,4551,TAN,,5060474526470,D-11F,https://www.leathercompany.co.uk/images/products/zoom/1469019561-32996500.png,9900023035007
0002303200,4552,BLACK,,5060474526487,D-10F,https://www.leathercompany.co.uk/images/products/zoom/1469019750-99860600.png,9900023032006
0002303300,4552,TAN,,5060474526494,D-10F,https://www.leathercompany.co.uk/images/products/zoom/1469019931-79073800.png,9900023033003
0002302800,4553,BLACK/MUD,,-,D-10F,https://www.leathercompany.co.uk/images/products/1629901263-59238800.jpg,9900023028009
0002356500,4553,TAN/BROWN,,-,D-10F,https://www.leathercompany.co.uk/images/products/1629901326-80457400.jpg,9900023565009
0002356800,4554,BLACK/MUD,,-,D-10F,https://www.leathercompany.co.uk/images/products/1649074481-56940600.jpg,9900023568000
0002356900,4554,TAN/BROWN,,-,D-10F,https://www.leathercompany.co.uk/images/products/1649074546-46539300.jpg,9900023569007
0002356700,4555,BLACK/MUD,,-,D-11A,https://www.leathercompany.co.uk/images/products/zoom/1478525077-80691300.png,9900023567003
0002356600,4555,TAN/BROWN,,-,D-11A,https://www.leathercompany.co.uk/images/products/zoom/1478525231-37324100.png,9900023566006
0004208400,4555 TFC,BLACK,ONE SIZE,-,A-17A,https://www.leathercompany.co.uk/images/products/1634815726-59050200.jpg,9900042084000
0002301200,4556,BLACK,,5060474526548,D-11A/12A,https://www.leathercompany.co.uk/images/products/zoom/1468253828-98177600.png,9900023012008
0002449000,4556,TAN/BROWN,,-,D-11A/12A,https://www.leathercompany.co.uk/images/products/zoom/1485274134-64568100.png,9900024490003
0002300100,4557,BLACK/MUD,,-,A-09A,https://www.leathercompany.co.uk/images/products/zoom/1467203453-15662800.png,9900023001002
0002300200,4557,TAN/BROWN,,-,A-09A,https://www.leathercompany.co.uk/images/products/zoom/1467203705-26005200.png,9900023002009
0000675800,469 LONG,BLACK/NAP,6,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758008
0000675801,469 LONG,BLACK/NAP,8,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758015
0000675802,469 LONG,BLACK/NAP,10,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758022
0000675803,469 LONG,BLACK/NAP,12,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758039
0000675804,469 LONG,BLACK/NAP,14,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758046
0000675805,469 LONG,BLACK/NAP,16,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758053
0000675806,469 LONG,BLACK/NAP,18,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758060
0000675807,469 LONG,BLACK/NAP,20,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758077
0000675808,469 LONG,BLACK/NAP,22,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758084
0000675809,469 LONG,BLACK/NAP,24,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758091
0000675810,469 LONG,BLACK/NAP,26,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758107
0000675811,469 LONG,BLACK/NAP,28,-,,https://www.leathercompany.co.uk/images/products/zoom/1489511824-85195500.png,9900006758114
0004844300,5 pads set,,mens,-,,,9900048443009
0004844301,5 pads set,,ladies,-,,,9900048443016
0000323900,501,BLACK,XXXS,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239005
0000323901,501,BLACK,XXS,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239012
