Brand,Style,Colour,Size,Description,PLU,EAN,SKU,Comm Code,
ASHWOOD,018S,BLACK/BRISSA,3XL,s/skin hat,0004077308,,,,
ASHWOOD,018S,BLACK/BRISSA,4XL,s/skin hat,0004077309,,,,
ASHWOOD,018S,BLACK/BRISSA,5XL,s/skin hat,0004077310,,,,
ASHWOOD,018S,BLACK/BRISSA,6XL,s/skin hat,0004077311,,,,
ASHWOOD,018S,BLACK/BRISSA,7XL,s/skin hat,0004077312,,,,
ASHWOOD,018S,BLACK/BRISSA,8XL,s/skin hat,0004077313,,,,
ASHWOOD,018S,BLACK/BRISSA,9XL,s/skin hat,0004077314,,,,
ASHWOOD,018S,BROWN/BRISSA,XXXS,s/skin hat,0003565500,,,,
ASHWOOD,018S,BROWN/BRISSA,XXS,s/skin hat,0003565501,,,,
ASHWOOD,018S,BROWN/BRISSA,XS,s/skin hat,0003565502,,,,
ASHWOOD,018S,BROWN/BRISSA,S,s/skin hat,0003565503,,,,
ASHWOOD,018S,BROWN/BRISSA,M,s/skin hat,0003565504,,,,
ASHWOOD,018S,BROWN/BRISSA,L,s/skin hat,0003565505,,,,
ASHWOOD,018S,BROWN/BRISSA,XL,s/skin hat,0003565506,,,,
ASHWOOD,018S,BROWN/BRISSA,2XL,s/skin hat,0003565507,,,,
ASHWOOD,018S,BROWN/BRISSA,3XL,s/skin hat,0003565508,,,,
ASHWOOD,018S,BROWN/BRISSA,4XL,s/skin hat,0003565509,,,,
ASHWOOD,018S,BROWN/BRISSA,5XL,s/skin hat,0003565510,,,,
ASHWOOD,018S,BROWN/BRISSA,6XL,s/skin hat,0003565511,,,,
ASHWOOD,018S,BROWN/BRISSA,7XL,s/skin hat,0003565512,,,,
ASHWOOD,018S,BROWN/BRISSA,8XL,s/skin hat,0003565513,,,,
ASHWOOD,018S,BROWN/BRISSA,9XL,s/skin hat,0003565514,,,,
ASHWOOD,018S,TAN/BRN,XXXS,s/skin hat,0004085300,,,,
ASHWOOD,018S,TAN/BRN,XXS,s/skin hat,0004085301,,,,
ASHWOOD,018S,TAN/BRN,XS,s/skin hat,0004085302,,,,
ASHWOOD,018S,TAN/BRN,S,s/skin hat,0004085303,,,,
ASHWOOD,018S,TAN/BRN,M,s/skin hat,0004085304,,,,
ASHWOOD,018S,TAN/BRN,L,s/skin hat,0004085305,,,,
ASHWOOD,018S,TAN/BRN,XL,s/skin hat,0004085306,,,,
ASHWOOD,018S,TAN/BRN,2XL,s/skin hat,0004085307,,,,
ASHWOOD,018S,TAN/BRN,3XL,s/skin hat,0004085308,,,,
ASHWOOD,018S,TAN/BRN,4XL,s/skin hat,0004085309,,,,
ASHWOOD,018S,TAN/BRN,5XL,s/skin hat,0004085310,,,,
ASHWOOD,018S,TAN/BRN,6XL,s/skin hat,0004085311,,,,
ASHWOOD,018S,TAN/BRN,7XL,s/skin hat,0004085312,,,,
ASHWOOD,018S,TAN/BRN,8XL,s/skin hat,0004085313,,,,
ASHWOOD,018S,TAN/BRN,9XL,s/skin hat,0004085314,,,,
ASHWOOD,025 HAT,BLACK,XXXS,STUD FASTEN HAT S /SKIN,0000917100,,,,
ASHWOOD,025 HAT,BLACK,XXS,STUD FASTEN HAT S /SKIN,0000917101,,,,
ASHWOOD,025 HAT,BLACK,XS,STUD FASTEN HAT S /SKIN,0000917102,,,,
ASHWOOD,025 HAT,BLACK,S,STUD FASTEN HAT S /SKIN,0000917103,,,,
ASHWOOD,025 HAT,BLACK,M,STUD FASTEN HAT S /SKIN,0000917104,,,,
ASHWOOD,025 HAT,BLACK,L,STUD FASTEN HAT S /SKIN,0000917105,,,,
ASHWOOD,025 HAT,BLACK,XL,STUD FASTEN HAT S /SKIN,0000917106,,,,
ASHWOOD,025 HAT,BLACK,2XL,STUD FASTEN HAT S /SKIN,0000917107,,,,
ASHWOOD,025 HAT,BLACK,3XL,STUD FASTEN HAT S /SKIN,0000917108,,,,
ASHWOOD,025 HAT,BLACK,4XL,STUD FASTEN HAT S /SKIN,0000917109,,,,
ASHWOOD,025 HAT,BLACK,5XL,STUD FASTEN HAT S /SKIN,0000917110,,,,
ASHWOOD,025 HAT,BLACK,6XL,STUD FASTEN HAT S /SKIN,0000917111,,,,
ASHWOOD,025 HAT,BLACK,7XL,STUD FASTEN HAT S /SKIN,0000917112,,,,
ASHWOOD,025 HAT,BLACK,8XL,STUD FASTEN HAT S /SKIN,0000917113,,,,
ASHWOOD,025 HAT,BLACK,9XL,STUD FASTEN HAT S /SKIN,0000917114,,,,
ASHWOOD,025 HAT,BRN/WHITE,XXXS,STUD FASTEN HAT S /SKIN,0001329600,,,,
ASHWOOD,025 HAT,BRN/WHITE,XXS,STUD FASTEN HAT S /SKIN,0001329601,,,,
ASHWOOD,025 HAT,BRN/WHITE,XS,STUD FASTEN HAT S /SKIN,0001329602,,,,
ASHWOOD,025 HAT,BRN/WHITE,S,STUD FASTEN HAT S /SKIN,0001329603,,,,
ASHWOOD,025 HAT,BRN/WHITE,M,STUD FASTEN HAT S /SKIN,0001329604,,,,
ASHWOOD,025 HAT,BRN/WHITE,L,STUD FASTEN HAT S /SKIN,0001329605,,,,
ASHWOOD,025 HAT,BRN/WHITE,XL,STUD FASTEN HAT S /SKIN,0001329606,,,,
ASHWOOD,025 HAT,BRN/WHITE,2XL,STUD FASTEN HAT S /SKIN,0001329607,,,,
ASHWOOD,025 HAT,BRN/WHITE,3XL,STUD FASTEN HAT S /SKIN,0001329608,,,,
ASHWOOD,025 HAT,BRN/WHITE,4XL,STUD FASTEN HAT S /SKIN,0001329609,,,,
ASHWOOD,025 HAT,BRN/WHITE,5XL,STUD FASTEN HAT S /SKIN,0001329610,,,,
