Product List Export Only,,,,,,,,,,,,,Date Range 01/07/2007 to 03/07/2026,,,,
Brand,Style,Colour,Size,Description,VAT Rate,Cost,Retail,Season,Supplier,Category,Department,CommCode,,Barcode,SKU,PLU,FashBCode
ASHWOOD,010B,BROWN,2XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568507,9900035685078
ASHWOOD,010B,BROWN,3XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568508,9900035685085
ASHWOOD,010B,BROWN,4XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568509,9900035685092
ASHWOOD,010B,BROWN,5XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568510,9900035685108
ASHWOOD,010B,BROWN,6XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568511,9900035685115
ASHWOOD,010B,BROWN,7XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568512,9900035685122
ASHWOOD,010B,BROWN,8XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568513,9900035685139
ASHWOOD,010B,BROWN,9XL,baseball cap fleece,20.00,0.00,89.99,NO SEASON,FONZ LEATHER STYLES,HATS,LEATHER CAP,,,,,0003568514,9900035685146
ASHWOOD,010B-S,BLACK,XXXS,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573000,9900035730006
ASHWOOD,010B-S,BLACK,XXS,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573001,9900035730013
ASHWOOD,010B-S,BLACK,XS,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573002,9900035730020
ASHWOOD,010B-S,BLACK,S,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573003,9900035730037
ASHWOOD,010B-S,BLACK,M,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573004,9900035730044
ASHWOOD,010B-S,BLACK,L,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573005,9900035730051
ASHWOOD,010B-S,BLACK,XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573006,9900035730068
ASHWOOD,010B-S,BLACK,2XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573007,9900035730075
ASHWOOD,010B-S,BLACK,3XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573008,9900035730082
ASHWOOD,010B-S,BLACK,4XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573009,9900035730099
ASHWOOD,010B-S,BLACK,5XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573010,9900035730105
ASHWOOD,010B-S,BLACK,6XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573011,9900035730112
