"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Product Subtitle",,"Attribute 1 (Size)",,"Model Number",EAN,,"Pick Location",,"Parent Product Images",,"Meta Keywords",
74,2541,,"00014373","0001437310",,Black/ani,,26,,AWL-529,5056798459112,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
74,2542,,"00014373","0001437311",,Black/ani,,28,,AWL-529,,,Z-48,,"https://www.leathercompany.co.uk/images/products/1604075810-53479500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728306872-33633100.jpg
https://www.leathercompany.co.uk/images/products/1604075811-87935400.jpg
https://www.leathercompany.co.uk/images/products/1604075813-32233700.jpg
https://www.leathercompany.co.uk/images/products/1604075814-79043600.jpg",,"Womens Leather Jacket,Black Leather Jacket, Women Black Leather Jacket, Ladies Leather Jacket, Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,cool",
75,470,,"00018418","0001841802",,Brown/nap,,10,,AWL-529,5056798419017,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,471,,"00018418","0001841803",,Brown/nap,,12,,AWL-529,5056798419024,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,472,,"00018418","0001841804",,Brown/nap,,14,,AWL-529,5056798419031,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,473,,"00018418","0001841805",,Brown/nap,,16,,AWL-529,5056798419048,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,474,,"00018418","0001841806",,Brown/nap,,18,,AWL-529,5056798419055,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,475,,"00018418","0001841807",,Brown/nap,,20,,AWL-529,5056798419062,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,6179,,"00018418","0001841808",,Brown/nap,,22,,AWL-529,5056798419079,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
75,19604,,"00018418","0001841809",,Brown/nap,,24,,AWL-529,5056798419086,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",,"Womens Leather Jacket, Brown Leather Jacket, Women Brown Leather Jacket, Ladies Leather Jacket, Ladies Brown Leather Jacket, Womens Leather Jackets,girl leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
