"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",,"Model Number",EAN,,"Price (Inc VAT)","Sale Price (Inc VAT)",,"Stock Value",,"Parent Product Images",
75,470,,"00018418","0001841802",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419017,,249.000,159.000,,3,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,471,,"00018418","0001841803",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419024,,249.000,159.000,,1,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,472,,"00018418","0001841804",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419031,,249.000,159.000,,1,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,473,,"00018418","0001841805",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419048,,249.000,159.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,474,,"00018418","0001841806",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419055,,249.000,159.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,475,,"00018418","0001841807",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419062,,249.000,159.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,6179,,"00018418","0001841808",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419079,,249.000,159.000,,2,,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
75,19604,,"00018418","0001841809",,"Leather Jacket Brown/nap: AWL-529","Leather Jacket Brown/nap: AWL-529",,AWL-529,5056798419086,,249.000,159.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1451745203-38253500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728310720-49269300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289201-90784400.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289202-81230300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289203-72705800.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448289204-52849900.jpg",
77,2546,,"00014565","0001456500",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,249.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,489,,"00014565","0001456501",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,249.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
